Finland,Helsinki city,Palosuontie,07530,60.24506049999999, 24.9397343
Finland,Helsinki city,Alankotie,02730,60.27012910000001, 25.0355564
Finland,Helsinki city,Ajomiehentie,02940,60.23867219999999, 24.8491417
Finland,Helsinki city,Harbonkatu,00980,60.19909069999999, 25.1253982
Finland,Helsinki city,Meri-Rastilan tie,00980,60.20092440000001, 25.1242305
Finland,Helsinki city,Halkaisijantie,00980,60.2028479, 25.1273865
Finland,Helsinki city,Vuotie,00980,60.2069625, 25.1417436
Finland,Helsinki city,Harustie,00980,60.2034163, 25.1248603
Finland,Helsinki city,Suutarilantie,00740,60.2764524, 25.003123
Finland,Helsinki city,Melkonkatu,00210,60.1506801, 24.8828643
Finland,Helsinki city,Ramsinniementie,00980,60.1939566, 25.1042006
Finland,Helsinki city,Porslahdentie,00960,60.2196748, 25.1459181
Finland,Helsinki city,Pilvilinnankatu,00960,60.2169605, 25.1498035
Finland,Helsinki city,Lintu Sininen,00960,60.21890620000001, 25.1524267
Finland,Helsinki city,Refanutinpolku,00960,60.2169566, 25.1497807
Finland,Helsinki city,Iiluodonpiha,00990,60.2038317, 25.1462117
Finland,Helsinki city,Leikosaarentie,00990,60.20464140000001, 25.1518803
Finland,Helsinki city,Juhannusruusunkuja,00990,60.2014998, 25.1491219
Finland,Helsinki city,Aurinkoranta,00990,60.2014419, 25.153952
Finland,Helsinki city,Aurinkolahden puistotie,00990,60.2027692, 25.1493174
Finland,Helsinki city,Solvikinkatu,00990,60.20251200000001, 25.1550599
Finland,Helsinki city,Gustav Pauligin katu,00990,60.2049152, 25.1523633
Finland,Helsinki city,Aurinkotuulenkatu,00990,60.20626770000001, 25.1579142
Finland,Helsinki city,Pomeranssikuja,00990,60.2057741, 25.1547642
Finland,Helsinki city,Svartvikinkuja,00980,60.2043007, 25.1581057
Finland,Helsinki city,Urheilukalastajankuja,00990,60.20333369999999, 25.1601415
Finland,Helsinki city,Lohikallionranta,00990,60.20507240000001, 25.1596809
Finland,Helsinki city,Myrskykuja,00990,60.2045435, 25.1592185
Finland,Helsinki city,Sumukuja,00990,60.2054473, 25.1585462
Finland,Helsinki city,Kauniinilmankuja,00990,60.208248, 25.1592214
Finland,Helsinki city,Ruusuniementie,00980,60.21078290000001, 25.1786901
Finland,Helsinki city,Ruusuniemenaukio,00980,60.21078290000001, 25.1786901
Finland,Helsinki city,Karavaanikatu,00980,60.20730279999999, 25.1213157
Finland,Helsinki city,Aamuruskontie,00740,60.2844618, 25.0242293
Finland,Helsinki city,Suuntimotie,00750,60.2766809, 25.0394599
Finland,Helsinki city,Kartanonkaari,00410,60.2423903, 24.8629412
Finland,Helsinki city,Pirkkolantie,00630,60.2300657, 24.9171196
Finland,Helsinki city,Kauppalantie,00320,60.212504, 24.8983635
Finland,Helsinki city,Tunnelitie,00320,60.2174701, 24.8996174
Finland,Helsinki city,Viilarintie,00880,60.2112974, 25.0593794
Finland,Helsinki city,Mekaanikonkatu,00880,60.20328139999999, 25.0463795
Finland,Helsinki city,Siilitie,00800,60.2094308, 25.0377974
Finland,Helsinki city,Tulisuontie,00810,60.20199049999999, 25.0686369
Finland,Helsinki city,Suolakivenkatu,00810,60.1890813, 25.0272954
